Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_14_SiO2_7_Andreas_0-site9    0.451    14    4    3.165    2.042    -0.754    2.0    0.262    0.407    0.437    0.523    0.62    0.477
CO-MgO_14_SiO2_7_Andreas_1-site10    0.464    14    3    2.727    1.933    -0.754    2.0    0.238    0.52    0.668    0.521    0.641    0.525
CO-MgO_14_SiO2_7_Andreas_1-site12    0.476    14    4    2.727    2.038    -0.651    2.0    0.257    0.36    0.436    0.673    0.337    0.594
CO-MgO_14_SiO2_7_Andreas_1-site15    0.466    14    4    2.727    2.06    -0.676    2.0    0.24    0.368    0.464    0.636    0.367    0.602
CO-MgO_14_SiO2_7_Andreas_1-site16    0.456    14    3    2.727    1.993    -0.764    2.0    0.154    0.571    0.644    0.493    0.696    0.461
CO-MgO_14_SiO2_7_Andreas_1-site18    0.479    14    3    2.727    1.954    -0.674    2.0    0.128    0.489    0.774    0.435    0.517    0.693
CO-MgO_14_SiO2_7_Andreas_1-site28    0.48    14    3    2.727    1.944    -0.751    2.0    0.221    0.529    0.676    0.478    0.676    0.53
CO-MgO_14_SiO2_7_Andreas_1-site29    0.381    14    4    2.727    2.026    -0.856    2.0    0.273    0.232    0.525    0.67    0.405    0.356
CO-MgO_14_SiO2_7_Andreas_1-site39    0.589    14    4    2.727    2.028    -0.714    2.0    0.387    0.262    0.361    0.709    0.48    0.416
CO-MgO_14_SiO2_7_Andreas_1-site41    0.487    14    4    2.727    2.023    -0.778    2.0    0.331    0.276    0.393    0.75    0.327    0.476
CO-MgO_14_SiO2_7_Andreas_1-site45    0.481    14    4    2.727    2.065    -0.745    2.0    0.321    0.301    0.483    0.562    0.6    0.38
CO-MgO_14_SiO2_7_Andreas_1-site46    0.384    14    3    2.727    2.002    -0.896    2.0    0.35    0.493    0.556    0.693    0.598    0.342
CO-MgO_14_SiO2_7_Andreas_1-site47    0.518    14    4    2.727    2.075    -0.682    2.0    0.251    0.399    0.441    0.576    0.524    0.543
CO-MgO_14_SiO2_7_Andreas_1-site5    0.404    14    3    2.727    1.983    -0.638    2.0    0.272    0.584    0.438    0.793    0.351    0.64
CO-MgO_14_SiO2_7_Andreas_2-site17    0.413    14    4    3.528    2.017    -0.744    2.0    0.209    0.355    0.531    0.504    0.612    0.412
CO-MgO_14_SiO2_7_Andreas_2-site21    0.468    14    3    3.528    1.956    -0.77    2.0    0.271    0.554    0.551    0.67    0.553    0.507
CO-MgO_14_SiO2_7_Andreas_2-site23    0.313    14    4    3.528    2.017    -0.861    2.0    0.235    0.232    0.557    0.656    0.391    0.35
CO-MgO_14_SiO2_7_Andreas_2-site26    0.544    14    3    3.528    1.929    -0.779    2.0    0.354    0.349    0.749    0.584    0.437    0.644
CO-MgO_14_SiO2_7_Andreas_2-site27    0.542    14    3    3.528    1.958    -0.666    2.0    0.254    0.529    0.651    0.511    0.668    0.526
CO-MgO_14_SiO2_7_Andreas_2-site28    0.497    14    3    3.528    1.978    -0.662    2.0    0.184    0.565    0.64    0.495    0.698    0.474
CO-MgO_14_SiO2_7_Andreas_2-site38    0.432    14    4    3.528    2.069    -0.731    2.0    0.136    0.489    0.348    0.588    0.598    0.399
CO-MgO_14_SiO2_7_Andreas_2-site39    0.458    14    4    3.528    2.024    -0.799    2.0    0.284    0.315    0.484    0.62    0.47    0.475
CO-MgO_14_SiO2_7_Andreas_2-site40    0.469    14    3    3.528    1.943    -0.754    2.0    0.217    0.43    0.794    0.471    0.428    0.737
CO-MgO_14_SiO2_7_Andreas_2-site41    0.36    14    4    3.528    2.027    -0.847    2.0    0.156    0.351    0.555    0.534    0.527    0.449
CO-MgO_14_SiO2_7_Andreas_2-site42    0.56    14    3    3.528    1.945    -0.68    2.0    0.32    0.509    0.642    0.502    0.671    0.574
CO-MgO_14_SiO2_7_Andreas_2-site44    0.529    14    3    3.528    1.958    -0.657    2.0    0.233    0.533    0.644    0.557    0.625    0.502
CO-MgO_14_SiO2_7_Andreas_2-site8    0.385    14    4    3.528    2.019    -0.726    2.0    0.205    0.347    0.539    0.53    0.551    0.443
CO-MgO_14_SiO2_7_Andreas_3-site17    0.288    14    4    3.057    2.038    -0.774    2.0    0.154    0.353    0.586    0.464    0.536    0.526
