Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_12_SiO2_6_Andreas_1-site1    1.433    12    2    3.382    -1.171    1.357    1.797    -0.609    2.0    0.5    0.699    0.5    0.719    0.829    0.692
H-MgO_12_SiO2_6_Andreas_1-site10    0.673    12    3    3.382    -2.344    1.412    1.918    -0.645    2.0    0.667    0.562    0.044    0.6    0.761    0.548
H-MgO_12_SiO2_6_Andreas_1-site13    1.044    12    2    3.382    -2.045    1.396    1.747    -0.658    2.0    0.5    0.612    0.545    0.818    0.76    0.574
H-MgO_12_SiO2_6_Andreas_1-site16    0.577    12    3    3.382    -2.764    1.517    1.875    -0.721    2.0    0.667    0.279    0.391    0.781    0.53    0.401
H-MgO_12_SiO2_6_Andreas_1-site17    1.292    12    3    3.382    -2.346    1.439    1.913    -0.639    2.0    0.667    0.578    0.062    0.576    0.757    0.578
H-MgO_12_SiO2_6_Andreas_1-site19    0.905    12    3    3.382    -2.622    1.483    1.889    -0.696    2.0    0.667    0.314    0.429    0.724    0.521    0.563
H-MgO_12_SiO2_6_Andreas_1-site20    0.929    12    3    3.382    -2.876    1.466    1.869    -0.715    2.0    0.667    0.398    0.287    0.741    0.637    0.387
H-MgO_12_SiO2_6_Andreas_1-site21    1.23    12    3    3.382    -2.364    1.522    1.88    -0.601    2.0    0.667    0.444    0.322    0.667    0.642    0.561
H-MgO_12_SiO2_6_Andreas_1-site23    0.953    12    2    3.382    -1.981    1.424    1.754    -0.632    2.0    0.5    0.593    0.563    0.831    0.734    0.572
H-MgO_12_SiO2_6_Andreas_1-site24    0.904    12    3    3.382    -2.542    1.395    1.902    -0.694    2.0    0.667    0.515    0.159    0.651    0.725    0.492
H-MgO_12_SiO2_6_Andreas_1-site27    1.164    12    2    3.382    -1.601    1.443    1.749    -0.646    2.0    0.5    0.572    0.583    0.841    0.703    0.581
H-MgO_12_SiO2_6_Andreas_1-site29    0.92    12    2    3.382    -1.673    1.513    1.745    -0.596    2.0    0.5    0.457    0.71    0.83    0.55    0.745
H-MgO_12_SiO2_6_Andreas_1-site34    1.405    12    2    3.382    -1.342    1.361    1.792    -0.628    2.0    0.5    0.68    0.504    0.745    0.823    0.658
H-MgO_12_SiO2_6_Andreas_1-site35    1.288    12    3    3.382    -1.481    0.766    1.915    -0.975    2.0    1.0    0.373    0.3    0.759    0.622    0.349
H-MgO_12_SiO2_6_Andreas_1-site37    1.101    12    2    3.382    -1.684    1.475    1.763    -0.613    2.0    0.5    0.531    0.627    0.851    0.64    0.626
H-MgO_12_SiO2_6_Andreas_1-site5    0.942    12    3    3.382    -2.875    1.519    1.908    -0.695    2.0    0.667    0.4    0.389    0.653    0.632    0.597
H-MgO_12_SiO2_6_Andreas_1-site7    0.331    12    3    3.382    -2.648    1.516    1.899    -0.717    2.0    0.667    0.262    0.489    0.7    0.491    0.632
H-MgO_12_SiO2_6_Andreas_2-site10    1.044    12    2    3.451    -1.888    1.39    1.764    -0.63    2.0    0.5    0.63    0.531    0.802    0.782    0.586
H-MgO_12_SiO2_6_Andreas_2-site11    0.567    12    3    3.451    -3.133    1.527    1.903    -0.648    2.0    0.667    0.37    0.379    0.717    0.568    0.527
H-MgO_12_SiO2_6_Andreas_2-site15    0.987    12    3    3.451    -2.54    1.541    1.905    -0.645    2.0    0.667    0.459    0.374    0.609    0.631    0.652
H-MgO_12_SiO2_6_Andreas_2-site16    0.102    12    2    3.451    -3.468    1.837    1.683    -0.37    2.0    0.0    0.696    0.501    0.723    0.828    0.687
H-MgO_12_SiO2_6_Andreas_2-site21    1.119    12    3    3.451    -2.068    1.44    1.908    -0.622    2.0    0.667    0.572    0.051    0.585    0.76    0.568
H-MgO_12_SiO2_6_Andreas_2-site25    0.634    12    3    3.451    -2.692    1.514    1.894    -0.674    2.0    0.667    0.292    0.46    0.712    0.5    0.603
H-MgO_12_SiO2_6_Andreas_2-site27    0.68    12    3    3.451    -2.846    1.654    1.928    -0.686    2.0    0.667    0.35    0.576    0.316    0.845    0.378
H-MgO_12_SiO2_6_Andreas_2-site29    0.388    12    3    3.451    -2.795    1.459    1.882    -0.739    2.0    0.667    0.375    0.329    0.741    0.605    0.432
H-MgO_12_SiO2_6_Andreas_2-site3    0.642    12    3    3.451    -3.243    1.486    1.902    -0.655    2.0    0.667    0.426    0.288    0.713    0.643    0.453
H-MgO_12_SiO2_6_Andreas_2-site31    0.743    12    3    3.451    -2.073    1.459    1.915    -0.65    2.0    0.667    0.544    0.213    0.608    0.695    0.569
H-MgO_12_SiO2_6_Andreas_2-site32    0.3    12    3    3.451    -3.189    1.423    1.944    -0.693    2.0    0.667    0.45    0.247    0.704    0.671    0.438
H-MgO_12_SiO2_6_Andreas_2-site34    0.615    12    2    3.451    -2.266    1.363    1.761    -0.591    2.0    0.5    0.622    0.537    0.809    0.773    0.58
H-MgO_12_SiO2_6_Andreas_2-site35    1.241    12    3    3.451    -0.928    0.752    1.913    -0.982    2.0    1.0    0.423    0.313    0.705    0.626    0.49
H-MgO_12_SiO2_6_Andreas_2-site38    1.4    12    2    3.451    -1.196    1.383    1.79    -0.567    2.0    0.5    0.678    0.505    0.749    0.822    0.652
H-MgO_12_SiO2_6_Andreas_2-site39    1.261    12    2    3.451    -1.268    1.342    1.795    -0.634    2.0    0.5    0.679    0.505    0.747    0.822    0.654
H-MgO_12_SiO2_6_Andreas_2-site41    1.31    12    3    3.451    -0.988    0.754    1.936    -0.998    2.0    1.0    0.388    0.303    0.744    0.624    0.398
H-MgO_12_SiO2_6_Andreas_2-site5    1.023    12    3    3.451    -2.529    1.449    1.913    -0.641    2.0    0.667    0.549    0.11    0.615    0.745    0.534
H-MgO_12_SiO2_6_Andreas_2-site7    1.04    12    2    3.451    -1.977    1.362    1.758    -0.618    2.0    0.5    0.657    0.514    0.775    0.808    0.618
H-MgO_12_SiO2_6_Andreas_2-site8    0.938    12    3    3.451    -2.587    1.431    1.927    -0.64    2.0    0.667    0.541    0.109    0.625    0.745    0.52
H-MgO_12_SiO2_6_Andreas_3-site0    1.535    12    3    3.342    -1.097    0.805    1.94    -0.934    2.0    1.0    0.471    0.209    0.692    0.697    0.441
H-MgO_12_SiO2_6_Andreas_3-site12    1.29    12    2    3.342    -1.723    1.435    1.741    -0.595    2.0    0.5    0.587    0.568    0.834    0.725    0.573
